SERIAL,PERSON NUMBERS,PERSON 1 DESCRIPTION,RELATIONSHIP DESCRIPTION,HOUSEHOLD DESCRIPTION,OTHER PERSON DESCRIPTIONS
34285,"1,2,3,4,5",I am a 73-year-old man. I have trouble with my hearing. I was born in Wisconsin. I am a truck driver. I made $87.8K last year.,I live with my daughter and 2 grandsons and my granddaughter.,We live in Arizona. We live in a mobile home or trailer built in the 2000s with 4 bedrooms. We own our home. our annual property taxes are $ 900 - 949.,2: My daughter is 43-year-old. She was born in Wisconsin. she have been looking for work. She is a Janitor and building cleaner. She did not have personal income last year. | 3: My grandson is 16-year-old. He was born in Arizona. He did not have personal income last year. | 4: My grandson is 10-year-old. He was born in Arizona. | 5: My granddaughter is 9-year-old. She was born in Arizona.
732786,"1,2",I am a 67-year-old woman. I was born in Michigan. I am a Retail salesperson. I made $16.3K last year.,I live with my daughter.,"We live in Michigan. We live in a house built before 1939 with 2 bedrooms. We own our home. our annual property taxes are $ 3,000 - 3,099.","2: My daughter is 43-year-old. She was born in Michigan. she have been looking for work. She is a Unemployed, with no work experience in the last 5 years or earlier or never worked. She did not have personal income last year."
1057626,"1,2",I am a 70-year-old man. I am a veteran. I was born in Ohio. I am a Taxi driver. I made $8.3K last year.,I live with another male non-relative.,"We live in the Dayton-Kettering-Beavercreek, Ohio area. We live in a attached house built in the 1970s with 1 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 650 - 699.",2: My other non-relatives is 70-year-old. He is a veteran. He was born in Ohio. He works as a Shuttle driver and chauffeur. He made $11.3K last year.
700639,"1,2,3,4",I am a 53-year-old woman. I was born in Mexico. I am a Customer service representative. I did not have personal income last year.,I live with 2 sons and my male partner.,"We live in the Detroit-Warren-Dearborn, Michigan area. We live in a house built in the 1940s with 2 bedrooms. We own our home. our annual property taxes are $ 1,400 - 1,499.","2: My male partner is 51-year-old. He was born in Mexico. He works as a painter and paperhanger. He made $30K last year. he leaves for work at around 11:05 AM. It takes him about 10 minutes to get to work. | 3: My son is 25-year-old. He was born in Michigan. He works as a Welding, soldering, and brazing worker. He made $39K last year. he leaves for work at around 5:02 AM. It takes him about 27 minutes to get to work. | 4: My son is 23-year-old. He was born in Michigan. he have been looking for work. He works as a Fast food and counter worker. He made $11K last year."
137250,"1,2",I am a 68-year-old woman. I was born in California. I am a Personal financial advisor. I made $50.2K last year.,I live with another male non-relative.,"We live in the San Francisco-Oakland-Fremont, California area. We live in a mobile home or trailer built in the 1970s with 2 bedrooms. We own our home. our annual property taxes are $1-49  ($2-49 in 1990 PR Samples).","2: My other non-relatives is 68-year-old. He was born in California. He works as a Inspector, tester, sorter, sampler, and weigher. He made $19.8K last year."
423335,"1,2",I am a 78-year-old man. I was born in Illinois. I am a Wholesale and manufacturing sales representative. I made $80.8K last year. I studied General Business in college.,I live with my female partner.,"We live in the Atlanta-Sandy Springs-Roswell, Georgia area. We live in a house built around 1990 with 4 bedrooms. We own our home. our annual property taxes are $ 4,000 - 4,099.",2: My female partner is 75-year-old. She was born in Illinois. She is a Services sales representative. She made $24K last year. She studied Marketing and Marketing Research.
647895,"1,2,3,4",I am a 67-year-old man. I was born in Delaware. I am a Cabinetmakers and bench carpenter. I made $60K last year. I studied Miscellaneous Education in college.,I live with my female partner and 2 female non-relatives.,We live in Maryland. We live in a house built before 1939 with 3 bedrooms. We own our home. our annual property taxes are $8000-8999 ($8000-9099 in 2000).,2: My female partner is 64-year-old. She was born in Delaware. She is a Dental hygienist. She made $54K last year. | 3: My other non-relatives is 40-year-old. She was born in Delaware. She is a Bartender. She made $55K last year. She studied Political Science and Government. | 4: My other non-relatives is 15-year-old. She was born in Pennsylvania. She made $2K last year.
440719,"1,2,3,4,5",I am a 68-year-old man. I am a veteran. I was born in Hawaii. I am a Electrician. I made $18K last year.,I live with my brother and 3 male non-relatives.,"We live in the Urban Honolulu, Hawaii area. We live in a attached house built in the 1960s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,600 - 1,699; We also have a 2nd mortgage.",2: My brother is 78-year-old. He was born in Hawaii. He works as a Retail salesperson. He made $49K last year. | 3: My other non-relatives is 78-year-old. He was born in Hawaii. He made $25K last year. | 4: My other non-relatives is 1-year-old. He was born in Hawaii. | 5: My other non-relatives is 0-year-old. He was born in Hawaii.
1061188,"1,2,3,4",I am a 52-year-old man. I have trouble with my vision. I was born in Ohio. I am a Machinist. I made $36K last year. I drive to work. I leave for work at around 5:35 PM. It takes me about 25 minutes to get to work.,I live with my brother and 2 sisters.,"We live in the Cleveland, Ohio area. We live in a house built before 1939 with 3 bedrooms. We own our home. our annual property taxes are $ 800 - 849.","2: My sister is 59-year-old. She was born in Ohio. She made $20.2K last year. | 3: My brother is 51-year-old. He was born in Ohio. He works as a Laborer and freight, stock, and material mover, hand. He did not have personal income last year. | 4: My sister is 46-year-old. She was born in Ohio. she have been looking for work. She is a Insurance sales agent. She did not have personal income last year."
1372375,"1,2",I am a 75-year-old woman. I was born in Louisiana. I am a Teller. I made $69.4K last year. I studied Marketing and Marketing Research in college.,I live with my male partner.,"We live in the Houston-Pasadena-The Woodlands, Texas area. We live in a house built in the 1950s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,400 - 3,499.",2: My male partner is 79-year-old. He is a veteran. He was born in Texas. He works as a Plant and system operator. He made $40.6K last year.
1006443,"1,2",I am a 75-year-old man. I have trouble with my hearing. I was born in North Carolina. I am a agricultural worker. I made $41.6K last year.,I live with my son.,"We live in the Fayetteville, North Carolina area. We live in a mobile home or trailer built in the 1970s with 2 bedrooms. We own our home. our annual property taxes are $ 100 - 149.","2: My son is 50-year-old. He was born in North Carolina. he have been looking for work. He works as a Heating, air conditioning, and refrigeration mechanics and installer. He made $17.1K last year. he leaves for work at around 6:02 AM. It takes him about 150 minutes to get to work."
1159612,"1,2",I am a 81-year-old woman. I was born in Pennsylvania. I am a Business operations specialist. I made $4.3K last year.,I live with my daughter.,"We live in the Pittsburgh, Pennsylvania area. We live in a mobile home or trailer built in the 1970s with 2 bedrooms. We own our home. our annual property taxes are $ 1,400 - 1,499.",2: My daughter is 48-year-old. She was born in Pennsylvania. She is a Retail salesperson. She did not have personal income last year.
132443,"1,2,3,4",I am a 45-year-old woman. I was born in Philippines. I am a Medical and health services manager. I made $40K last year. I studied General Education in college. I drive to work. I leave for work at around 7:32 AM. It takes me about 15 minutes to get to work.,I live with my son and my daughter and another male relative.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a house built in the 2000s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $10000-10999 ($10,000+ in 2000-2017 ACS/PRCS Samples).","2: My daughter is 23-year-old. She was born in Philippines. She is a Registered nurse. She made $90K last year. She studied Nursing. she leaves for work at around 7:15 PM. It takes her about 15 minutes to get to work. | 3: My son is 20-year-old. He was born in Philippines. he have been looking for work. He works as a Unemployed, with no work experience in the last 5 years or earlier or never worked. He did not have personal income last year. | 4: My other relatives is 54-year-old. He was born in California. He works as a Stocker and order filler. He made $30K last year. He studied Marketing and Marketing Research. he leaves for work at around 6:02 AM. It takes him about 20 minutes to get to work."
465506,"1,2,3,4",I am a 52-year-old man. I have trouble with my hearing. I was born in Missouri. I made $19.2K last year.,I live with another male non-relative and 2 female non-relatives.,We live in Illinois. We live in a house built in the 1970s with 4 bedrooms. We rent. our rent is $500+ per month.,2: My other non-relatives is 46-year-old. He was born in Illinois. He made $9.6K last year. | 3: My other non-relatives is 41-year-old. She was born in Illinois. She is a Cashier. She did not have personal income last year. | 4: My other non-relatives is 25-year-old. She was born in Illinois. She is a Cashier. She made $800 last year. she leaves for work at around 11:05 AM. It takes her about 15 minutes to get to work.
387639,"1,2,3",I am a 55-year-old man. I was born in Colorado. I am a agricultural worker. I made $14.6K last year. I drive to work. I leave for work at around 7:02 AM. It takes me about 22 minutes to get to work.,I live with my son and my female partner.,"We live in the Ocala, Florida area. We live in a house built around 1990 with 3 bedrooms. We own our home. our annual property taxes are $ 3,600 - 3,699.",2: My female partner is 62-year-old. She was born in New Jersey. She is a Cashier. She made $13.6K last year. | 3: My son is 31-year-old. He was born in Central America. He did not have personal income last year.
388469,"1,2,3,4,5",I am a 44-year-old woman. I was born in Vietnam. I am a Manicurists and pedicurist. I made $40K last year. I drive to work. I leave for work at around 8:02 AM. It takes me about 10 minutes to get to work.,"I live with my daughter, my father and my mother, and my male partner.","We live in the Deltona-Daytona Beach-Ormond Beach, Florida area. We live in a house built in the 2010s with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,600 - 1,699.",2: My male partner is 42-year-old. He was born in Vietnam. He works as a Machinist. He made $34K last year. he leaves for work at around 2:35 PM. It takes him about 50 minutes to get to work. | 3: My daughter is 12-year-old. She was born in Florida. | 4: My father is 74-year-old. He is a veteran. He was born in Vietnam. He works as a Industrial and refractory machinery mechanic. He did not have personal income last year. | 5: My mother is 73-year-old. She was born in Vietnam. She is a Maid and housekeeping cleaner. She did not have personal income last year.
1471055,"1,2,3",I am a 76-year-old woman. I was born in Oregon. I am a Wholesale and manufacturing sales representative. I made $108.2K last year. I drive to work. I leave for work at around 6:32 AM. It takes me about 45 minutes to get to work.,I live with my male roommate and my female roommate.,"We live in the Seattle-Tacoma-Bellevue, Washington area. We live in a house built around 1990 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,200 - 3,299.",2: My male roommate is 79-year-old. He was born in Scotland. He works as a Retail salesperson. He made $62K last year. | 3: My female roommate is 48-year-old. She was born in Montana. She is a Retail salesperson. She made $60K last year. she leaves for work at around 9:32 AM. It takes her about 30 minutes to get to work.
1034847,"1,2,3,4",I am a 84-year-old man. I have trouble with my hearing. I was born in Canada. I am a Police officer. I made $41.2K last year.,I live with 2 daughters and my grandson.,"We live in the Rocky Mount, North Carolina area. We live in a house built around 1990 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,000 - 3,099.","2: My daughter is 55-year-old. She was born in North Carolina. She is a Laborer and freight, stock, and material mover, hand. She did not have personal income last year. | 3: My daughter is 53-year-old. She was born in North Carolina. She is a Parking attendant. She made $55.9K last year. she leaves for work at around 7:02 AM. It takes her about 15 minutes to get to work. | 4: My grandson is 13-year-old. He was born in Connecticut."
70876,"1,2,3,4",I am a 75-year-old woman. I was born in Arkansas. I am a Elementary and middle school teacher. I made $3.6K last year. I studied Sociology in college.,I live with 2 daughters and my grandson.,We live in Arkansas. We live in a house built in the 1950s with 3 bedrooms. We own our home. our annual property taxes are $ 300 - 349.,"2: My daughter is 53-year-old. She was born in Illinois. She is a Counselor. She made $101K last year. She studied Early Childhood Education. she leaves for work at around 7:37 AM. It takes her about 3 minutes to get to work. | 3: My daughter is 50-year-old. She was born in Arkansas. She is a Cashier. She made $1.6K last year. | 4: My grandson is 28-year-old. He was born in Arkansas. He works as a Heating, air conditioning, and refrigeration mechanics and installer. He made $52K last year. he leaves for work at around 6:32 AM. It takes him about 25 minutes to get to work."
1394491,"1,2",I am a 45-year-old man. I moved last year. I was born in Puerto Rico. I am a Construction laborer. I made $42K last year. I drive to work. I leave for work at around 12:15 AM. It takes me about 153 minutes to get to work.,I live with my female partner.,"We live in the Dallas-Fort Worth-Arlington, Texas area. We live in a 10-19 family building built in the 2010s with 1 bedrooms. We rent.",2: My female partner is 46-year-old. She was born in Mexico. She is a Construction laborer. She made $18K last year. she leaves for work at around 12:15 AM. It takes her about 153 minutes to get to work.
968546,"1,2,3",I am a 69-year-old man. I was born in New York. I am a media and communication equipment worker. I made $68K last year. I studied Mass Media in college.,I live with my daughter and another female non-relative.,"We live in the New York-Newark-Jersey City, NY-NJ area. We live in a 2-family home built in the 1950s with 2 bedrooms. We own our home. our annual property taxes are $ 4,000 - 4,099.",2: My daughter is 34-year-old. She was born in New York. she have been looking for work. She is a entertainment attendants worker. She made $3K last year. She studied Commercial Art and Graphic Design. | 3: My other non-relatives is 63-year-old. She was born in New York. She is a Teaching assistant. She made $30K last year.
54893,"1,2,3","I am a 60-year-old woman. I was born in New Mexico. I am a Laborer and freight, stock, and material mover, hand. I made $1.7K last year.",I live with my sister and another male relative.,We live in Arizona. We live in a house built in the 1980s with 3 bedrooms. We own our home. our annual property taxes are $1-49  ($2-49 in 1990 PR Samples).,2: My sister is 71-year-old. She has trouble with her hearing. She was born in New Mexico. She made $8.2K last year. | 3: My other relatives is 50-year-old. He was born in New Mexico. He works as a Social and human service assistant. He made $300 last year.
983713,"1,2",I am a 61-year-old man. I am a veteran. I was born in Minnesota. I am a Telecommunications line installer and repairer. I made $83.3K last year.,I live with my female partner.,"We live in New York. We live in a house built in the 1970s with 3 bedrooms. We own our home. our annual property taxes are $ 1,000 - 1,099.","2: My female partner is 63-year-old. She was born in Germany. She is a Bus driver, school. She did not have personal income last year."
593254,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","I am a 49-year-old woman. I was born in Kentucky. I am a Shipping, receiving, and inventory clerk. I made $8K last year. I drive to work. I leave for work at around 8:02 AM. It takes me about 5 minutes to get to work.",I live with my male partner and 13 male non-relatives and 2 female non-relatives.,"We live in the Cincinnati, OH-KY-IN area. We live in a 3-4 family home built in the 1980s.","2: My male partner is 39-year-old. He was born in Kentucky. He works as a Inspector, tester, sorter, sampler, and weigher. He made $48K last year. He studied General Engineering. he leaves for work at around 5:32 AM. It takes him about 20 minutes to get to work. | 3: My other non-relatives is 81-year-old. He has trouble with his vision. He is a veteran. He was born in Kentucky. He made $34.6K last year. He studied Social Work. | 4: My other non-relatives is 64-year-old. He has trouble with his hearing. He was born in Kentucky. He works as a agricultural worker. He did not have personal income last year. | 5: My other non-relatives is 64-year-old. He was born in Kentucky. He made $21.6K last year. | 6: My other non-relatives is 61-year-old. He was born in Indiana. he have been looking for work. He works as a Stocker and order filler. He made $1.3K last year. | 7: My other non-relatives is 57-year-old. He was born in Kentucky. He works as a Laborer and freight, stock, and material mover, hand. He made $30K last year. he leaves for work at around 8:02 AM. It takes him about 15 minutes to get to work. | 8: My other non-relatives is 54-year-old. He was born in Kentucky. he have been looking for work. He works as a Construction laborer. He made $900 last year. | 9: My other non-relatives is 54-year-old. He was born in Kentucky. he have been looking for work. He works as a Laborer and freight, stock, and material mover, hand. He made $1.3K last year. | 10: My other non-relatives is 53-year-old. He was born in Kentucky. He made $1.3K last year. He studied Environmental Science. | 11: My other non-relatives is 52-year-old. He was born in Indiana. He works as a Construction laborer. He made $25K last year. he leaves for work at around 5:02 AM. It takes him about 60 minutes to get to work. | 12: My other non-relatives is 50-year-old. She was born in Kentucky. she have been looking for work. She is a Food preparation worker. She did not have personal income last year. | 13: My other non-relatives is 44-year-old. She was born in Indiana. She is a Clinical laboratory technologist and technician. She made $4.3K last year. | 14: My other non-relatives is 34-year-old. He was born in Indiana. He works as a Inspector, tester, sorter, sampler, and weigher. He made $48K last year. He studied Business Management and Administration. he leaves for work at around 8:02 AM. It takes him about 15 minutes to get to work. | 15: My other non-relatives is 32-year-old. He was born in Kentucky. He made $9.6K last year. | 16: My other non-relatives is 27-year-old. He was born in Indiana. He works as a Janitor and building cleaner. He made $980 last year. he leaves for work at around 5:02 AM. It takes him about 60 minutes to get to work. | 17: My other non-relatives is 25-year-old. He was born in Kentucky. He works as a Industrial truck and tractor operator. He did not have personal income last year."
131633,"1,2,3,4",I am a 29-year-old man. I was born in Mexico. I have been looking for work. I am a Security guard and gaming surveillance officer. I made $20K last year. I drive to work. I leave for work at around 8:02 AM. It takes me about 15 minutes to get to work.,I live with my mother and my brother and my sister.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a 10-19 family building built in the 1970s with 2 bedrooms. We rent.",2: My brother is 40-year-old. He was born in Mexico. he have been looking for work. He works as a Stationary engineer and boiler operator. He made $31K last year. | 3: My sister is 38-year-old. She was born in Mexico. She is a Food processing worker. She made $25K last year. she leaves for work at around 6:32 AM. It takes her about 5 minutes to get to work. | 4: My mother is 70-year-old. She was born in Mexico. She is a Maid and housekeeping cleaner. She made $19.2K last year.
315407,"1,2,3",I am a 39-year-old woman. I was born in Cuba. I am a Exercise trainer and group fitness instructor. I made $25K last year. I drive to work. I leave for work at around 11:35 AM. It takes me about 15 minutes to get to work.,I live with my mother and my male partner.,"We live in the Miami-Fort Lauderdale-West Palm Beach, Florida area. We live in a attached house built in the 2000s with 2 bedrooms. We own our home. our annual property taxes are $ 3,800 - 3,899.","2: My male partner is 41-year-old. He was born in SOUTH AMERICA. He works as a Property, real estate, and community association manager. He made $50K last year. he leaves for work at around 7:02 AM. It takes him about 15 minutes to get to work. | 3: My mother is 67-year-old. She was born in Cuba. She is a Butcher and meat, poultry, and fish processing worker. She made $4.4K last year."
1232566,"1,2,3,4","I am a 64-year-old man. I was born in South Carolina. I am a First-line Supervisor of mechanic, installer, and repairer. I made $82.7K last year. I drive to work. I leave for work at around 8:02 AM. It takes me about 15 minutes to get to work.",I live with 2 granddaughters and my female partner.,We live in South Carolina. We live in a mobile home or trailer built around 1990 with 3 bedrooms. We own our home. our annual property taxes are $ 400 - 449.,2: My female partner is 56-year-old. She was born in Georgia. She is a First-line supervisor of office and administrative support worker. She made $69K last year. she leaves for work at around 8:02 AM. It takes her about 15 minutes to get to work. | 3: My granddaughter is 20-year-old. She was born in Georgia. She is a Retail salesperson. She made $7K last year. she leaves for work at around 4:05 PM. It takes her about 40 minutes to get to work. | 4: My granddaughter is 1-year-old. She was born in South Carolina.
278207,"1,2,3,4",I am a 48-year-old woman. I was born in Connecticut. I am a Retail supervisor. I made $12K last year. I drive to work. I leave for work at around 3:05 PM. It takes me about 10 minutes to get to work.,I live with my son and my daughter and my male partner.,We live in Connecticut. We live in a 2-family home built in the 1950s with 3 bedrooms. We rent.,"2: My male partner is 56-year-old. He was born in Massachusetts. He works as a Carpet, floor, and tile installer and finisher. He made $205K last year. he leaves for work at around 7:02 AM. It takes him about 45 minutes to get to work. | 3: My son is 25-year-old. He was born in Connecticut. He works as a Retail supervisor. He made $34K last year. he leaves for work at around 5:02 AM. It takes him about 10 minutes to get to work. | 4: My daughter is 20-year-old. She was born in Connecticut. She is a Laborer and freight, stock, and material mover, hand. She made $8K last year. she leaves for work at around 6:32 AM. It takes her about 25 minutes to get to work."
273072,"1,2,3",I am a 68-year-old man. I was born in Connecticut. I am a Stocker and order filler. I made $44K last year. I drive to work. I leave for work at around 2:15 AM. It takes me about 5 minutes to get to work.,I live with my son and my female partner.,"We live in the New Haven, Connecticut area. We live in a 10-19 family building built in the 1980s with 2 bedrooms. We own our home. our annual property taxes are $ 3,000 - 3,099.",2: My female partner is 57-year-old. She was born in Connecticut. She is a Medical assistant. She made $41K last year. she leaves for work at around 10:35 PM. It takes her about 15 minutes to get to work. | 3: My son is 32-year-old. He was born in Connecticut. He works as a designer. He made $40K last year. he leaves for work at around 5:02 AM. It takes him about 55 minutes to get to work.
1413518,"1,2,3,4",I am a 55-year-old woman. I was born in New Hampshire. I made $10.8K last year.,"I live with my grandson, my male partner, and another male non-relative.",We live in Vermont. We live in a house built in the 1970s with 2 bedrooms. We own our home. our annual property taxes are $9000-9999 ($9100+ in 2000).,2: My male partner is 46-year-old. He was born in Rhode Island. He works as a Carpenter. He did not have personal income last year. | 3: My grandson is 15-year-old. He has trouble with his vision. He was born in Vermont. He did not have personal income last year. | 4: My other non-relatives is 43-year-old. He was born in Rhode Island. He works as a Carpenter. He made $70K last year.
250202,"1,2,3",I am a 47-year-old man. I was born in Kansas. I am a agricultural worker. I made $72K last year. I drive to work. I leave for work at around 6:22 AM. It takes me about 25 minutes to get to work.,I live with my male roommate and another female relative.,We live in Colorado. We live in a mobile home or trailer built in the 1980s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 450 - 499.,2: My other relatives is 63-year-old. She was born in Massachusetts. She is a Waiter and waitresse. She made $45K last year. she leaves for work at around 8:32 AM. It takes her about 35 minutes to get to work. | 3: My male roommate is 48-year-old. He was born in Colorado. he have been looking for work. He works as a Carpenter. He made $2K last year.
996221,"1,2,3",I am a 93-year-old woman. I was born in North Carolina. I made $10K last year.,I live with my son and another female non-relative.,"We live in North Carolina. We live in a house built in the 1950s with 3 bedrooms. We own our home. our annual property taxes are $ 4,000 - 4,099.","2: My son is 70-year-old. He was born in North Carolina. He works as a Supervisor of personal care and service worker. He made $49K last year. He studied Area, Ethnic, and Civilization Studies. | 3: My other non-relatives is 63-year-old. She was born in North Carolina. She is a Office clerk. She made $43K last year. she leaves for work at around 8:32 AM. It takes her about 30 minutes to get to work."
960057,"1,2",I am a 64-year-old woman. I was born in Pennsylvania. I am a Precision instrument and equipment repairer. I made $29.2K last year. I studied Music in college.,I live with my male partner.,"We live in the Rochester, New York area. We live in a mobile home or trailer built in the 1980s with 3 bedrooms. We own our home. our annual property taxes are $ 2,400 - 2,499.",2: My male partner is 62-year-old. He was born in Pennsylvania. He works as a Construction manager. He made $24.6K last year. He studied United States History.
833825,"1,2,3",I am a 52-year-old man. I was born in California. I am a Detective and criminal investigator. I made $84K last year.,I live with my son and my female roommate.,"We live in the Las Vegas-Henderson-North Las Vegas, Nevada area. We live in a house built in the 2000s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,000 - 3,099.",2: My son is 25-year-old. He was born in Alabama. He works as a Computer systems analyst. He made $120.3K last year. He studied Business Management and Administration. he leaves for work at around 7:02 AM. It takes him about 12 minutes to get to work. | 3: My female roommate is 49-year-old. She was born in Oregon. She is a Writer. She made $40K last year. she leaves for work at around 6:57 AM. It takes her about 25 minutes to get to work.
889890,"1,2,3,4",I am a 78-year-old woman. I was born in New Mexico. I made $28.8K last year.,"I live with my son, my male roommate, and another female non-relative.",We live in New Mexico. We live in a house built in the 1980s with 3 bedrooms.,2: My son is 59-year-old. He was born in Massachusetts. He works as a Fast food and counter worker. He made $13.9K last year. | 3: My male roommate is 94-year-old. He is a veteran. He was born in Texas. He works as a Electrical and electronics engineer. He made $10.8K last year. | 4: My other non-relatives is 70-year-old. She was born in New Mexico. She made $8.6K last year.
684107,"1,2",I am a 72-year-old woman. I was born in District of Columbia. I am a Management analyst. I made $100.6K last year. I studied Chemistry in college.,I live with my male partner.,"We live in the Boston-Cambridge-Newton, MA-NH area. We live in a house built in the 1980s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $9000-9999 ($9100+ in 2000); We also have a 2nd mortgage.",2: My male partner is 67-year-old. He was born in New Hampshire. He works as a Motor vehicle operator. He made $24.4K last year.
635060,"1,2,3",I am a 64-year-old woman. I was born in California. I am a Cook. I made $33.4K last year.,I live with my son and my female roommate.,"We live in the Baltimore-Columbia-Towson, Maryland area. We live in a house built in the 1950s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,500 - 1,599.",2: My son is 38-year-old. He was born in California. He works as a Stocker and order filler. He did not have personal income last year. | 3: My female roommate is 40-year-old. She was born in California. She is a Dispatcher. She made $55K last year. she leaves for work at around 6:47 AM. It takes her about 13 minutes to get to work.
113770,"1,2,3,4,5",I am a 79-year-old woman. I have trouble with my hearing. I was born in Washington. I made $21.1K last year.,I live with my son and 3 male non-relatives.,"We live in the San Diego-Chula Vista-Carlsbad, California area. We live in a house built around 1990 with 4 bedrooms. We own our home. our annual property taxes are $ 1,500 - 1,599.","2: My son is 32-year-old. He was born in California. He works as a Paramedic. He made $21K last year. He studied Biology. | 3: My other non-relatives is 61-year-old. He was born in Mexico. he have been looking for work. He works as a Musician and singer. He made $5.6K last year. he leaves for work at around 7:02 AM. It takes him about 5 minutes to get to work. | 4: My other non-relatives is 61-year-old. He was born in California. He works as a Laborer and freight, stock, and material mover, hand. He made $30K last year. he leaves for work at around 7:32 AM. It takes him about 30 minutes to get to work. | 5: My other non-relatives is 21-year-old. He was born in California. He works as a assembler and fabricator. He made $13K last year. he leaves for work at around 6:47 AM. It takes him about 5 minutes to get to work."
251619,"1,2",I am a 68-year-old woman. I was born in Kansas. I am a Retail salesperson. I made $27.1K last year.,I live with my male partner.,"We live in the Denver-Aurora-Centennial, Colorado area. We live in a 5-9 family building built in the 1980s with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,900 - 2,999.","2: My male partner is 74-year-old. He was born in Kansas. He works as a installation, maintenance, and repair worker. He made $18K last year."
1006407,"1,2,3",I am a 43-year-old woman. I was born in Pennsylvania. I am a Landscaping and groundskeeping worker. I made $49.5K last year. I drive to work. I leave for work at around 12:15 AM. It takes me about 15 minutes to get to work.,I live with my daughter and my male partner.,We live in North Carolina. We live in a mobile home or trailer built around 1990 with 2 bedrooms. We own our home. our annual property taxes are $ 200 - 249.,2: My male partner is 37-year-old. He was born in Florida. He works as a Landscaping and groundskeeping worker. He made $21.5K last year. he leaves for work at around 9:02 AM. It takes him about 15 minutes to get to work. | 3: My daughter is 14-year-old. She was born in North Carolina.
46575,"1,2",I am a 78-year-old woman. I was born in Pennsylvania. I am a Animal caretaker. I made $20.1K last year.,I live with my brother.,"We live in the Prescott Valley-Prescott, Arizona area. We live in a house built in the 1970s with 4 bedrooms. We own our home. our annual property taxes are $ 2,700 - 2,799.",2: My brother is 72-year-old. He was born in Maryland. He works as a Market research analyst and marketing specialist. He made $83.5K last year. He studied History.
20151,"1,2",I am a 52-year-old woman. I have trouble with my vision. I was born in Alabama. I am a Maid and housekeeping cleaner. I made $15.7K last year.,I live with my male partner.,We live in Alabama. We live in a house built in the 1970s with 3 bedrooms. We own our home. our annual property taxes are $ 200 - 249.,2: My male partner is 61-year-old. He has trouble with his vision and hearing. He was born in Alabama. He works as a Cook. He made $16.9K last year.
1531531,"1,2,3",I am a 49-year-old woman. I was born in Wyoming. I am a Nursing assistant. I made $36.5K last year. I work from home.,I live with my father-in-law and my male partner.,"We live in Wyoming. We live in a house built around 1990 with 2 bedrooms. We own our home. our annual property taxes are $ 3,500 - 3,599.",2: My male partner is 40-year-old. He has trouble with his vision and hearing. He was born in Ohio. He works as a assembler and fabricator. He did not have personal income last year. | 3: My father-in-law is 81-year-old. He has trouble with his hearing. He was born in Wyoming. He made $22.8K last year. He studied Social Science or History Teacher Education.
327609,"1,2",I am a 60-year-old man. I am a veteran. I was born in Pennsylvania. I am a truck driver. I made $36K last year.,I live with my female roommate.,"We live in the Crestview-Fort Walton Beach-Destin, Florida area. We live in a house built around 1990 with 3 bedrooms. We own our home. our annual property taxes are $ 1,600 - 1,699.",2: My female roommate is 60-year-old. She was born in Philippines. She is a Janitor and building cleaner. She did not have personal income last year.
211390,"1,2",I am a 76-year-old woman. I was born in California. I am a Sales supervisor. I made $9K last year. I studied Psychology in college.,I live with my stepson.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a 2-family home built before 1939 with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,400 - 1,499; We also have a 2nd mortgage.",2: My stepson is 52-year-old. He was born in Oregon. he have been looking for work. He works as a truck driver. He made $7K last year. He studied Communications.
1316471,"1,2,3","I am a 80-year-old woman. I was born in Texas. I have been looking for work. I am a Unemployed, with no work experience in the last 5 years or earlier or never worked. I made $19K last year.",I live with my son and my daughter.,We live in Texas. We live in a house built in the 1940s with 3 bedrooms. We own our home.,2: My daughter is 65-year-old. She was born in Texas. She did not have personal income last year. | 3: My son is 49-year-old. He was born in Texas. He works as a Security guard and gaming surveillance officer. He made $35K last year. he leaves for work at around 7:32 AM. It takes him about 60 minutes to get to work.
